id,l10n_bg_saft_uom_code,l10n_bg_saft_uom_description,l10n_bg_saft_uom_conversion_factor
uom.product_uom_unit,"XUN","Единица / Unit",1
uom.product_uom_dozen,"DZN","дузина / dozen",1
uom.product_uom_kgm,"KGM","килограм / kilogram",1
uom.product_uom_gram,"GRM","грам / gram",1
uom.product_uom_day,"DAY","ден / day",1
uom.product_uom_hour,"HUR","час / hour",1
uom.product_uom_minute,"MIN","минута [единица за време] / minute [unit of time]",1
uom.product_uom_ton,"TNE","тон (метричен тон) / tonne (metric ton)",1
uom.product_uom_meter,"MTR","метър / metre",1
uom.product_uom_km,"KMT","километър / kilometre",1
uom.product_uom_cm,"CMT","сантиметър / centimetre",1
uom.product_uom_litre,"LTR","литър / litre",1
uom.product_uom_lb,"LBR","фунт / pound",1
uom.product_uom_oz,"ONZ","унция (авоардюпоа) / ounce (avoirdupois)",1
uom.product_uom_inch,"INH","инч / inch",1
uom.product_uom_foot,"FOT","фут  / foot ",1
uom.product_uom_mile,"SMI","миля (сухопътна миля) / mile (statute mile)",1
uom.product_uom_floz,"OZA","течна унция (САЩ) / fluid ounce (US)",1
uom.product_uom_qt,"QTL","течна кварта (САЩ) / liquid quart (US)",1
uom.product_uom_gal,"GLL","галон (САЩ) / gallon (US)",1
uom.product_uom_cubic_meter,"MTQ","кубичен метър / cubic metre",1
uom.product_uom_cubic_inch,"INQ","кубичен инч / cubic inch",1
uom.product_uom_cubic_foot,"FTQ","кубичен фут / cubic foot",1
uom.product_uom_square_meter,"MTK","квадратен метър / square metre",1
uom.product_uom_square_foot,"FTK","квадратен фут / square foot",1
uom.product_uom_yard,"YRD","ярд / yard",1
uom.product_uom_millimeter,"MMT","милиметър / millimetre",1
uom.product_uom_kwh,"KWH","киловатчас / kilowatt hour",1
uom.product_uom_milliliter,"MLT","милилитър / millilitre",1
uom.product_uom_pack_6,"XPK","Пакет / Package",6
